NEIROETH,SELL,LIMIT,IOC,758,0.0277689,0.0280400,FILLED,758,758,1740695315617,21.0488262
XRP,SELL,LIMIT,IOC,188.5,2.1613,2.1718,FILLED,180.9,188.5,1740695317239,407.40505
WLD,SELL,LIMIT,IOC,4365,1.1295891,1.1358796,FILLED,74,4365,1740695321463,4930.6564215
SEI,SELL,LIMIT,IOC,19,0.2539819,0.2565000,FILLED,19,19,1740695323078,4.8256561
TAO,SELL,LIMIT,IOC,0.033,320.06,323.28,FILLED,0.033,0.033,1740695323465,10.56198
1000PEPE,SELL,LIMIT,IOC,975,0.0081233,0.0081752,FILLED,975,975,1740695325204,7.9202175
FIO,SELL,LIMIT,IOC,595,0.0248575,0.0250900,FILLED,595,595,1740695326453,14.7902125
SUI,SELL,LIMIT,IOC,714.6,2.757505,2.782900,FILLED,150.7,714.6,1740695326628,1970.513073
SUI,SELL,LIMIT,IOC,78.2,2.755159,2.781700,FILLED,9.3,78.2,1740695328616,215.4534338
SEI,SELL,LIMIT,IOC,22026,0.2539023,0.2563000,FILLED,7303,22026,1740695330094,5592.452059800001
SEI,SELL,LIMIT,IOC,4517,0.2538338,0.2563000,FILLED,2310,4517,1740695334450,1146.5672746
SOLV,BUY,LIMIT,IOC,12006,0.0385019,0.0381000,FILLED,12006,12006,1740695358683,462.25381139999996
TIA,SELL,LIMIT,IOC,26,3.5844583,3.6194000,FILLED,19,26,1740695366169,93.19591580000001
TIA,SELL,LIMIT,IOC,41,3.5825611,3.6175000,FILLED,41,41,1740695370230,146.8850051
SAFE,SELL,LIMIT,IOC,531,0.5958843,0.6016000,FILLED,394,531,1740695370556,316.4145633
TIA,SELL,LIMIT,IOC,43,3.5820167,3.6167000,FILLED,43,43,1740695373109,154.0267181
KAITO,SELL,LIMIT,IOC,14.8,2.142198,2.162037,FILLED,4.6,14.8,1740695385598,31.704530400000003
PIPPIN,SELL,LIMIT,IOC,3035,0.0288305,0.0294100,FILLED,1567,3035,1740695386063,87.5005675
PIPPIN,SELL,LIMIT,IOC,313,0.0287770,0.0293300,FILLED,313,313,1740695392163,9.007201
KAITO,SELL,LIMIT,IOC,450.0,2.137770,2.157689,FILLED,48.8,450.0,1740695412246,961.9965000000001
TIA,SELL,LIMIT,IOC,20,3.5790919,3.6130000,FILLED,20,20,1740695421465,71.581838
TIA,SELL,LIMIT,IOC,115,3.5764783,3.6115000,FILLED,99,115,1740695435156,411.2950045
TIA,SELL,LIMIT,IOC,101,3.5763599,3.6113000,FILLED,68,101,1740695436271,361.2123499
NEIROETH,SELL,LIMIT,IOC,29743,0.0277165,0.0279775,FILLED,14125,29743,1740695441356,824.3718595
SAFE,BUY,LIMIT,IOC,1731,0.6106259,0.6044402,FILLED,533,1731,1740695459377,1056.9934329
TIA,SELL,LIMIT,IOC,6,3.5697093,3.6059000,FILLED,6,6,1740695467652,21.4182558
BERA,BUY,LIMIT,IOC,4.8,8.084266,8.005000,FILLED,4.8,4.8,1740695468152,38.804476799999996
BCH,SELL,LIMIT,IOC,3.130,331.32,332.78,FILLED,0.007,3.130,1740949325573,1037.0316
HBAR,SELL,LIMIT,IOC,26,0.26148,0.26395,FILLED,26,26,1740949326309,6.79848
ACT,SELL,LIMIT,IOC,43,0.2087146,0.2107000,FILLED,43,43,1740949327454,8.9747278
ACT,SELL,LIMIT,IOC,1349,0.2086058,0.2097683,FILLED,827,1349,1740949330073,281.4092242
ACT,SELL,LIMIT,IOC,1100,0.2077026,0.2091588,FILLED,532,1100,1740949332160,228.47286
SOL,SELL,LIMIT,IOC,1,174.1077,174.9100,FILLED,1,1,1740949335199,174.1077
1000FLOKI,SELL,LIMIT,IOC,14836,0.0870459,0.0878500,FILLED,15,14836,1740949335626,1291.4129724
